Spatial Frequency(Hz),Modulation(0-1),System time(milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
20.0,1.0,401,480,480,0.0,
2.0,
20.0,1.0,453,480,480,0.0,
2.0,
20.0,1.0,471,480,480,0.0,
2.0,
20.0,1.0,491,480,480,0.0,
2.0,
20.0,1.0,522,480,480,0.0,
2.0,
20.0,1.0,556,480,480,0.0,
2.0,
20.0,1.0,590,480,480,0.0,
2.0,
20.0,1.0,622,480,480,0.0,
2.0,
20.0,1.0,656,480,480,0.0,
2.0,
20.0,1.0,689,480,480,0.0,
2.0,
20.0,1.0,722,480,480,0.0,
2.0,
20.0,1.0,756,480,480,0.0,
2.0,
20.0,1.0,790,480,480,0.0,
2.0,
20.0,1.0,823,480,480,0.0,
2.0,
20.0,1.0,856,480,480,0.0,
2.0,
20.0,1.0,889,480,480,0.0,
2.0,
20.0,1.0,922,480,480,0.0,
2.0,
20.0,1.0,956,480,480,0.0,
2.0,
20.0,1.0,989,480,480,0.0,
2.0,
20.0,1.0,1023,480,480,0.0,
2.0,
20.0,1.0,1056,480,480,0.0,
2.0,
20.0,1.0,1089,480,480,0.0,
2.0,
20.0,1.0,1122,480,480,0.0,
2.0,
20.0,1.0,1156,480,480,0.0,
2.0,
20.0,1.0,1189,480,480,0.0,
2.0,
20.0,1.0,1223,480,480,0.0,
2.0,
20.0,1.0,1256,480,480,0.0,
2.0,
20.0,1.0,1289,480,480,0.0,
2.0,
20.0,1.0,1323,480,480,0.0,
2.0,
20.0,1.0,1356,480,480,0.0,
2.0,
20.0,1.0,1389,480,480,0.0,
2.0,
20.0,1.0,1423,480,480,0.0,
2.0,
20.0,1.0,1456,480,480,0.0,
2.0,
20.0,1.0,1489,480,480,0.0,
2.0,
20.0,1.0,1524,480,480,0.0,
2.0,
20.0,1.0,1556,480,480,0.0,
2.0,
20.0,1.0,1589,480,480,0.0,
2.0,
20.0,1.0,1622,480,480,0.0,
2.0,
20.0,1.0,1656,480,480,0.0,
2.0,
20.0,1.0,1689,480,480,0.0,
2.0,
20.0,1.0,1722,480,480,0.0,
2.0,
20.0,1.0,1756,480,480,0.0,
2.0,
20.0,1.0,1789,480,480,0.0,
2.0,
20.0,1.0,1822,480,480,0.0,
2.0,
20.0,1.0,1856,480,480,0.0,
2.0,
20.0,1.0,1889,480,480,0.0,
2.0,
20.0,1.0,1922,480,480,0.0,
2.0,
20.0,1.0,1956,480,480,0.0,
2.0,
20.0,1.0,1989,480,480,0.0,
2.0,
20.0,1.0,2022,480,480,0.0,
2.0,
20.0,1.0,2056,480,480,0.0,
2.0,
20.0,1.0,2088,480,480,0.0,
2.0,
20.0,1.0,2122,480,480,0.0,
2.0,
20.0,1.0,2155,480,480,0.0,
2.0,
20.0,1.0,2189,480,480,0.0,
2.0,
20.0,1.0,2222,480,480,0.0,
2.0,
20.0,1.0,2255,480,480,0.0,
2.0,
20.0,1.0,2289,480,480,0.0,
2.0,
20.0,1.0,2322,480,480,0.0,
2.0,
20.0,1.0,2355,480,480,0.0,
2.0,
20.0,1.0,2389,480,480,0.0,
2.0,
20.0,1.0,2422,480,480,0.0,
2.0,
20.0,1.0,2455,480,480,0.0,
2.0,
20.0,1.0,2489,480,480,0.0,
2.0,
20.0,1.0,2522,480,480,0.0,
2.0,
20.0,1.0,2554,480,480,0.0,
2.0,
20.0,1.0,2589,480,480,0.0,
2.0,
20.0,1.0,2622,480,480,0.0,
2.0,
