Spatial Frequency(Hz),Modulation(0-1),System time(milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
16.0,0.0,1435093382555,327.0,160.0,167.0,2.0,
16.0,0.0,1435093382563,328.0,160.0,168.0,2.0,
16.0,0.0,1435093382581,328.0,160.0,168.0,2.0,
16.0,0.0,1435093382593,329.0,160.0,169.0,2.0,
16.0,0.0,1435093382612,329.0,160.0,169.0,2.0,
16.0,0.0,1435093382620,329.0,160.0,169.0,2.0,
16.0,0.0,1435093382629,331.0,160.0,171.0,2.0,
16.0,0.0,1435093382638,331.0,160.0,171.0,2.0,
16.0,0.0,1435093382647,331.0,160.0,171.0,2.0,
16.0,0.0,1435093382660,332.0,160.0,172.0,2.0,
16.0,0.0,1435093382669,332.0,160.0,172.0,2.0,
16.0,0.0,1435093382679,332.0,160.0,172.0,2.0,
16.0,0.0,1435093382688,332.0,160.0,172.0,2.0,
16.0,0.0,1435093382696,334.0,160.0,174.0,2.0,
16.0,0.0,1435093382713,334.0,160.0,174.0,2.0,
16.0,0.0,1435093382725,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382735,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382748,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382757,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382767,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382777,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382788,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382796,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382813,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382822,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382836,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382847,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382856,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382865,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382874,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382883,335.0,160.0,175.0,2.0,
16.0,0.0,1435093382895,334.0,160.0,174.0,2.0,
16.0,0.0,1435093382912,334.0,160.0,174.0,2.0,
16.0,0.0,1435093382922,334.0,160.0,174.0,2.0,
16.0,0.0,1435093382931,334.0,160.0,174.0,2.0,
16.0,0.0,1435093382940,334.0,160.0,174.0,2.0,
16.0,0.0,1435093382950,334.0,160.0,174.0,2.0,
16.0,0.0,1435093382958,332.0,160.0,172.0,2.0,
16.0,0.0,1435093382966,332.0,160.0,172.0,2.0,
16.0,0.0,1435093382979,332.0,160.0,172.0,2.0,
16.0,0.0,1435093382994,331.0,160.0,171.0,2.0,
16.0,0.0,1435093383012,331.0,160.0,171.0,2.0,
16.0,0.0,1435093383022,329.0,160.0,169.0,2.0,
16.0,0.0,1435093383033,329.0,160.0,169.0,2.0,
16.0,0.0,1435093383042,329.0,160.0,169.0,2.0,
16.0,0.0,1435093383051,329.0,160.0,169.0,2.0,
16.0,0.0,1435093383059,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383070,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383080,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383089,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383098,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383113,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383122,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383130,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383139,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383148,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383156,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383172,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383178,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383187,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383195,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383210,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383227,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383237,328.0,160.0,168.0,2.0,
16.0,0.0,1435093383246,330.0,160.0,170.0,2.0,
16.0,0.0,1435093383255,330.0,160.0,170.0,2.0,
16.0,0.0,1435093383262,330.0,160.0,170.0,2.0,
16.0,0.0,1435093383272,330.0,160.0,170.0,2.0,
16.0,0.0,1435093383280,331.0,160.0,171.0,2.0,
16.0,0.0,1435093383289,331.0,160.0,171.0,2.0,
16.0,0.0,1435093383299,331.0,160.0,171.0,2.0,
16.0,0.0,1435093383306,331.0,160.0,171.0,2.0,
16.0,0.0,1435093383316,331.0,160.0,171.0,2.0,
16.0,0.0,1435093383325,331.0,160.0,171.0,2.0,
16.0,0.0,1435093383334,331.0,160.0,171.0,2.0,
16.0,0.0,1435093383343,332.0,160.0,172.0,2.0,
16.0,0.0,1435093383352,332.0,160.0,172.0,2.0,
16.0,0.0,1435093383361,332.0,160.0,172.0,2.0,
16.0,0.0,1435093383373,332.0,160.0,172.0,2.0,
16.0,0.0,1435093383383,334.0,160.0,174.0,2.0,
16.0,0.0,1435093383391,334.0,160.0,174.0,2.0,
16.0,0.0,1435093383400,334.0,160.0,174.0,2.0,
16.0,0.0,1435093383410,336.0,160.0,176.0,2.0,
16.0,0.0,1435093383419,336.0,160.0,176.0,2.0,
16.0,0.0,1435093383429,336.0,160.0,176.0,2.0,
16.0,0.0,1435093383438,336.0,160.0,176.0,2.0,
16.0,0.0,1435093383447,337.0,160.0,177.0,2.0,
16.0,0.0,1435093383464,337.0,160.0,177.0,2.0,
16.0,0.0,1435093383473,337.0,160.0,177.0,2.0,
16.0,0.0,1435093383485,338.0,160.0,178.0,2.0,
16.0,0.0,1435093383494,338.0,160.0,178.0,2.0,
16.0,0.0,1435093383510,340.0,160.0,180.0,2.0,
16.0,0.0,1435093383520,340.0,160.0,180.0,2.0,
16.0,0.0,1435093383531,340.0,160.0,180.0,2.0,
16.0,0.0,1435093383541,340.0,160.0,180.0,2.0,
16.0,0.0,1435093383550,340.0,160.0,180.0,2.0,
16.0,0.0,1435093383560,340.0,160.0,180.0,2.0,
16.0,0.0,1435093383575,340.0,160.0,180.0,2.0,
16.0,0.0,1435093383584,342.0,160.0,182.0,2.0,
16.0,0.0,1435093383596,342.0,160.0,182.0,2.0,
16.0,0.0,1435093383609,342.0,160.0,182.0,2.0,
16.0,0.0,1435093383619,343.0,160.0,183.0,2.0,
16.0,0.0,1435093383630,343.0,160.0,183.0,2.0,
16.0,0.0,1435093383642,343.0,160.0,183.0,2.0,
16.0,0.0,1435093383651,344.0,160.0,184.0,2.0,
16.0,0.0,1435093383661,344.0,160.0,184.0,2.0,
16.0,0.0,1435093383671,344.0,160.0,184.0,2.0,
16.0,0.0,1435093383680,345.0,160.0,185.0,2.0,
16.0,0.0,1435093383692,345.0,160.0,185.0,2.0,
16.0,0.0,1435093383701,345.0,160.0,185.0,2.0,
16.0,0.0,1435093383710,345.0,160.0,185.0,2.0,
16.0,0.0,1435093383719,346.0,160.0,186.0,2.0,
16.0,0.0,1435093383726,346.0,160.0,186.0,2.0,
16.0,0.0,1435093383735,346.0,160.0,186.0,2.0,
16.0,0.0,1435093383744,348.0,160.0,188.0,2.0,
16.0,0.0,1435093383753,348.0,160.0,188.0,2.0,
16.0,0.0,1435093383764,348.0,160.0,188.0,2.0,
16.0,0.0,1435093383773,348.0,160.0,188.0,2.0,
16.0,0.0,1435093383784,348.0,160.0,188.0,2.0,
16.0,0.0,1435093383793,348.0,160.0,188.0,2.0,
