Spatial Frequency(Hz),Modulation(0-1),System time since start (milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
20.0,1.0,4506,320,320,0.0,4.0,
20.0,1.0,4539,320,320,0.0,4.0,
20.0,1.0,4573,320,320,0.0,4.0,
20.0,1.0,4606,320,320,0.0,4.0,
20.0,1.0,4639,320,320,0.0,4.0,
20.0,1.0,4673,320,320,0.0,4.0,
20.0,1.0,4706,320,320,0.0,4.0,
20.0,1.0,4740,320,320,0.0,4.0,
20.0,1.0,4774,320,320,0.0,4.0,
20.0,1.0,4807,320,320,0.0,4.0,
20.0,1.0,4840,320,320,0.0,4.0,
20.0,1.0,4874,320,320,0.0,4.0,
20.0,1.0,4907,320,320,0.0,4.0,
20.0,1.0,4940,320,320,0.0,4.0,
20.0,1.0,4974,320,320,0.0,4.0,
20.0,1.0,5007,320,320,0.0,4.0,
20.0,1.0,5041,320,320,0.0,4.0,
20.0,1.0,5074,320,320,0.0,4.0,
20.0,1.0,5105,320,320,0.0,4.0,
20.0,1.0,5136,320,320,0.0,4.0,
20.0,1.0,5169,320,320,0.0,4.0,
20.0,1.0,5200,320,320,0.0,4.0,
20.0,1.0,5233,320,320,0.0,4.0,
20.0,1.0,5266,320,320,0.0,4.0,
20.0,1.0,5299,320,320,0.0,4.0,
20.0,1.0,5332,320,320,0.0,4.0,
20.0,1.0,5364,320,320,0.0,4.0,
20.0,1.0,5397,320,320,0.0,4.0,
20.0,1.0,5430,320,320,0.0,4.0,
20.0,1.0,5462,320,320,0.0,4.0,
20.0,1.0,5495,320,320,0.0,4.0,
20.0,1.0,5528,320,320,0.0,4.0,
20.0,1.0,5560,320,320,0.0,4.0,
20.0,1.0,5593,320,320,0.0,4.0,
20.0,1.0,5626,320,320,0.0,4.0,
20.0,1.0,5659,320,320,0.0,4.0,
20.0,1.0,5692,320,320,0.0,4.0,
20.0,1.0,5726,320,320,0.0,4.0,
20.0,1.0,5759,320,320,0.0,4.0,
20.0,1.0,5793,320,320,0.0,4.0,
20.0,1.0,5826,320,320,0.0,4.0,
20.0,1.0,5859,320,320,0.0,4.0,
20.0,1.0,5893,320,320,0.0,4.0,
20.0,1.0,5926,320,320,0.0,4.0,
20.0,1.0,5960,320,320,0.0,4.0,
20.0,1.0,5993,320,320,0.0,4.0,
20.0,1.0,6026,320,320,0.0,4.0,
20.0,1.0,6061,320,320,0.0,4.0,
20.0,1.0,6093,320,320,0.0,4.0,
20.0,1.0,6127,320,320,0.0,4.0,
20.0,1.0,6160,320,320,0.0,4.0,
20.0,1.0,6194,320,320,0.0,4.0,
20.0,1.0,6227,320,320,0.0,4.0,
20.0,1.0,6260,320,320,0.0,4.0,
20.0,1.0,6294,320,320,0.0,4.0,
20.0,1.0,6327,320,320,0.0,4.0,
20.0,1.0,6362,320,320,0.0,4.0,
20.0,1.0,6394,320,320,0.0,4.0,
20.0,1.0,6428,320,320,0.0,4.0,
20.0,1.0,6461,320,320,0.0,4.0,
20.0,1.0,6494,320,320,0.0,4.0,
20.0,1.0,6528,320,320,0.0,4.0,
20.0,1.0,6561,320,320,0.0,4.0,
20.0,1.0,6595,320,320,0.0,4.0,
20.0,1.0,6628,320,320,0.0,4.0,
20.0,1.0,6662,320,320,0.0,4.0,
20.0,1.0,6695,320,320,0.0,4.0,
20.0,1.0,6728,320,320,0.0,4.0,
20.0,1.0,6760,320,320,0.0,4.0,
20.0,1.0,6792,320,320,0.0,4.0,
20.0,1.0,6823,320,320,0.0,4.0,
20.0,1.0,6853,320,320,0.0,4.0,
20.0,1.0,6887,320,320,0.0,4.0,
20.0,1.0,6920,320,320,0.0,4.0,
20.0,1.0,6952,320,320,0.0,4.0,
20.0,1.0,6984,320,320,0.0,4.0,
20.0,1.0,7016,320,320,0.0,4.0,
20.0,1.0,7048,320,320,0.0,4.0,
20.0,1.0,7083,320,320,0.0,4.0,
20.0,1.0,7113,320,320,0.0,4.0,
20.0,1.0,7146,320,320,0.0,4.0,
20.0,1.0,7180,320,320,0.0,4.0,
20.0,1.0,7213,320,320,0.0,4.0,
20.0,1.0,7246,320,320,0.0,4.0,
20.0,1.0,7280,320,320,0.0,4.0,
20.0,1.0,7313,320,320,0.0,4.0,
20.0,1.0,7347,320,320,0.0,4.0,
20.0,1.0,7380,320,320,0.0,4.0,
20.0,1.0,7414,320,320,0.0,4.0,
20.0,1.0,7447,320,320,0.0,4.0,
20.0,1.0,7480,320,320,0.0,4.0,
20.0,1.0,7514,320,320,0.0,4.0,
20.0,1.0,7547,320,320,0.0,4.0,
20.0,1.0,7581,320,320,0.0,4.0,
20.0,1.0,7614,320,320,0.0,4.0,
20.0,1.0,7647,320,320,0.0,4.0,
20.0,1.0,7681,320,320,0.0,4.0,
20.0,1.0,7714,320,320,0.0,4.0,
20.0,1.0,7748,320,320,0.0,4.0,
20.0,1.0,7781,320,320,0.0,4.0,
20.0,1.0,7815,320,320,0.0,4.0,
20.0,1.0,7848,320,320,0.0,4.0,
20.0,1.0,7881,320,320,0.0,4.0,
20.0,1.0,7915,320,320,0.0,4.0,
20.0,1.0,7948,320,320,0.0,4.0,
20.0,1.0,7982,320,320,0.0,4.0,
20.0,1.0,8015,320,320,0.0,4.0,
20.0,1.0,8048,320,320,0.0,4.0,
20.0,1.0,8082,320,320,0.0,4.0,
20.0,1.0,8115,320,320,0.0,4.0,
20.0,1.0,8149,320,320,0.0,4.0,
20.0,1.0,8183,320,320,0.0,4.0,
20.0,1.0,8217,320,320,0.0,4.0,
20.0,1.0,8249,320,320,0.0,4.0,
20.0,1.0,8283,320,320,0.0,4.0,
20.0,1.0,8316,320,320,0.0,4.0,
20.0,1.0,8349,320,320,0.0,4.0,
20.0,1.0,8383,320,320,0.0,4.0,
20.0,1.0,8416,320,320,0.0,4.0,
20.0,1.0,8450,320,320,0.0,4.0,
20.0,1.0,8483,320,320,0.0,4.0,
20.0,1.0,8516,320,320,0.0,4.0,
20.0,1.0,8550,320,320,0.0,4.0,
20.0,1.0,8583,320,320,0.0,4.0,
20.0,1.0,8617,320,320,0.0,4.0,
20.0,1.0,8650,320,320,0.0,4.0,
20.0,1.0,8684,320,320,0.0,4.0,
20.0,1.0,8717,320,320,0.0,4.0,
20.0,1.0,8750,320,320,0.0,4.0,
20.0,1.0,8784,320,320,0.0,4.0,
20.0,1.0,8817,320,320,0.0,4.0,
20.0,1.0,8851,320,320,0.0,4.0,
20.0,1.0,8884,320,320,0.0,4.0,
20.0,1.0,8918,320,320,0.0,4.0,
20.0,1.0,8952,320,320,0.0,4.0,
20.0,1.0,8985,320,320,0.0,4.0,
20.0,1.0,9018,320,320,0.0,4.0,
20.0,1.0,9051,320,320,0.0,4.0,
20.0,1.0,9085,320,320,0.0,4.0,
20.0,1.0,9118,320,320,0.0,4.0,
20.0,1.0,9152,320,320,0.0,4.0,
20.0,1.0,9185,320,320,0.0,4.0,
20.0,1.0,9218,320,320,0.0,4.0,
20.0,1.0,9252,320,320,0.0,4.0,
20.0,1.0,9285,320,320,0.0,4.0,
20.0,1.0,9319,320,320,0.0,4.0,
20.0,1.0,9352,320,320,0.0,4.0,
20.0,1.0,9385,320,320,0.0,4.0,
20.0,1.0,9419,320,320,0.0,4.0,
20.0,1.0,9452,320,320,0.0,4.0,
20.0,1.0,9486,320,320,0.0,4.0,
20.0,1.0,9520,320,320,0.0,4.0,
20.0,1.0,9553,320,320,0.0,4.0,
20.0,1.0,9586,320,320,0.0,4.0,
20.0,1.0,9616,320,320,0.0,4.0,
20.0,1.0,9651,320,320,0.0,4.0,
20.0,1.0,9684,320,320,0.0,4.0,
20.0,1.0,9717,320,320,0.0,4.0,
20.0,1.0,9750,320,320,0.0,4.0,
20.0,1.0,9782,320,320,0.0,4.0,
20.0,1.0,9816,320,320,0.0,4.0,
20.0,1.0,9848,320,320,0.0,4.0,
20.0,1.0,9880,320,320,0.0,4.0,
20.0,1.0,9912,320,320,0.0,4.0,
20.0,1.0,9945,320,320,0.0,4.0,
20.0,1.0,9978,320,320,0.0,4.0,
20.0,1.0,10011,320,320,0.0,4.0,
20.0,1.0,10044,320,320,0.0,4.0,
20.0,1.0,10077,320,320,0.0,4.0,
20.0,1.0,10110,320,320,0.0,4.0,
20.0,1.0,10142,320,320,0.0,4.0,
20.0,1.0,10175,320,320,0.0,4.0,
20.0,1.0,10208,320,320,0.0,4.0,
20.0,1.0,10240,320,320,0.0,4.0,
20.0,1.0,10273,320,320,0.0,4.0,
20.0,1.0,10306,320,320,0.0,4.0,
