Spatial Frequency(Hz),Modulation(0-1),System time since start (milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
10.0,1.0,4368,480,480,0.0,0.0,
10.0,1.0,4399,480,480,0.0,0.0,
10.0,1.0,4429,480,480,0.0,0.0,
10.0,1.0,4462,480,480,0.0,0.0,
10.0,1.0,4495,480,480,0.0,0.0,
10.0,1.0,4530,480,480,0.0,0.0,
10.0,1.0,4562,480,480,0.0,0.0,
10.0,1.0,4595,480,480,0.0,0.0,
10.0,1.0,4628,480,480,0.0,0.0,
10.0,1.0,4662,480,480,0.0,0.0,
10.0,1.0,4695,480,480,0.0,0.0,
10.0,1.0,4729,480,480,0.0,0.0,
10.0,1.0,4761,480,480,0.0,0.0,
10.0,1.0,4793,480,480,0.0,0.0,
10.0,1.0,4825,480,480,0.0,0.0,
10.0,1.0,4856,480,480,0.0,0.0,
10.0,1.0,4890,480,480,0.0,0.0,
10.0,1.0,4921,480,480,0.0,0.0,
10.0,1.0,4951,480,480,0.0,0.0,
10.0,1.0,4985,480,480,0.0,0.0,
10.0,1.0,5016,480,480,0.0,0.0,
10.0,1.0,5049,480,480,0.0,0.0,
10.0,1.0,5082,480,480,0.0,0.0,
10.0,1.0,5116,480,480,0.0,0.0,
10.0,1.0,5149,480,480,0.0,0.0,
10.0,1.0,5180,480,480,0.0,0.0,
10.0,1.0,5212,480,480,0.0,0.0,
10.0,1.0,5244,480,480,0.0,0.0,
10.0,1.0,5277,480,480,0.0,0.0,
10.0,1.0,5311,480,480,0.0,0.0,
10.0,1.0,5345,480,480,0.0,0.0,
10.0,1.0,5378,480,480,0.0,0.0,
10.0,1.0,5409,480,480,0.0,0.0,
10.0,1.0,5441,480,480,0.0,0.0,
10.0,1.0,5471,1503,548,955.1889865361724,0.0,
10.0,1.0,5545,1504,548,956.1887888905621,0.0,
10.0,1.0,5569,1505,548,957.1885916578822,0.0,
10.0,1.0,5599,1506,548,958.18839483684,0.0,
10.0,1.0,5632,1508,548,960.1880024245252,0.0,
